fecha,e010,e134,e183,e218
1970-03-14,1.45,1.46,1.19,0.68
1970-03-15,1.45,1.46,1.2,0.73
1970-03-16,1.44,1.46,1.2,0.81
1970-03-17,1.49,1.52,1.25,0.86
1970-03-18,1.49,1.58,1.3,0.86
1970-03-19,1.48,1.6,1.31,0.88
1970-03-20,1.48,1.6,1.31,0.88
1970-03-21,1.5,1.68,1.35,0.97
1970-03-22,1.5,1.72,1.4,0.97
1970-03-23,1.5,1.77,1.44,1.0
1970-03-24,1.52,1.8,1.46,1.02
1970-03-25,1.52,1.78,1.44,1.07
1970-03-26,1.52,1.75,1.44,1.09
1970-03-27,1.52,1.7,1.4,1.09
1970-03-28,1.51,1.6,1.4,1.07
1970-03-29,1.51,1.64,1.43,1.08
1970-03-30,1.5,1.6,1.43,0.97
1970-03-31,1.51,1.6,1.39,1.0
1970-04-01,1.52,1.59,1.37,0.95
1970-04-02,1.52,1.69,1.37,0.97
1970-04-03,1.58,1.77,1.44,1.0
1970-04-04,1.63,1.99,1.55,1.16
1970-04-05,1.65,2.04,1.6,1.3
1970-04-06,1.7,2.08,1.62,1.4
1970-04-07,1.7,2.11,1.65,1.45
1970-04-08,1.68,2.16,1.68,1.53
1970-04-09,1.8,2.18,1.68,1.58
1970-04-10,1.85,2.16,1.68,1.6
1970-04-11,1.9,2.14,1.62,1.59
1970-04-12,1.9,2.13,1.6,1.59
1970-04-13,1.85,2.08,1.55,1.57
1970-04-14,1.85,2.0,1.5,1.54
1970-04-15,1.86,1.98,1.5,1.49
1970-04-16,1.9,1.91,1.4,1.44
1970-04-17,1.9,1.85,1.4,1.37
1970-04-18,1.88,1.85,1.39,1.31
1970-04-19,1.86,1.83,1.39,1.25
1970-04-20,1.82,1.81,1.37,1.2
1970-04-21,1.81,1.8,1.36,1.17
1970-04-22,1.81,1.79,1.36,1.11
1970-04-23,1.78,1.79,1.35,1.07
1970-04-24,1.78,1.76,1.33,1.04
1970-04-25,1.75,1.7,1.3,1.0
1970-04-26,1.75,1.7,1.3,0.96
1970-04-27,1.72,1.72,1.31,0.96
1970-04-28,1.72,1.72,1.32,0.95
1970-04-29,1.74,1.73,1.34,0.93
