fecha,valor010,valor033,valor088,valor134,valor183,valor211,e218,valor255,Qcon,Qasu_m
1971-07-21,0.94,-0.18,1.2,1.16,1.16,1.12,1.22,3.08,1189.1,1710.4
1971-07-22,0.92,-0.19,1.2,1.14,1.12,1.05,1.15,2.95,1178.7,1664.9
1971-07-23,0.9,-0.2,1.2,1.12,1.1,0.97,1.1,2.85,1168.2,1632.2
1971-07-24,0.86,-0.21,1.18,1.1,1.04,0.89,1.05,2.74,1157.7,1599.3
1971-07-25,0.82,-0.22,1.18,1.09,1.02,0.82,1.0,2.65,1152.4,1566.3
1971-07-26,0.8,-0.22,1.15,1.06,1.0,0.78,0.95,2.59,1136.6,1533.1
1971-07-27,0.78,-0.22,1.13,1.06,0.96,0.74,0.92,2.52,1136.6,1513.1
1971-07-28,0.73,-0.23,1.1,1.06,0.96,0.68,0.88,2.45,1136.6,1486.3
1971-07-29,0.7,-0.24,1.09,1.08,0.94,0.77,0.95,2.48,1147.1,1533.1
1971-07-30,0.67,-0.25,1.09,1.1,0.94,1.0,1.18,2.56,1157.7,1684.5
1971-07-31,0.65,-0.26,1.09,1.14,0.98,1.05,1.18,2.61,1178.7,1684.5
1971-08-01,0.63,-0.31,1.06,1.21,0.98,1.07,1.2,2.64,1215.2,1697.5
1971-08-02,0.6,-0.32,1.22,1.32,1.0,1.07,1.2,2.65,1272.1,1697.5
1971-08-03,0.58,-0.33,1.3,1.43,1.02,1.07,1.26,2.66,1328.4,1736.4
1971-08-04,0.56,-0.33,1.3,1.53,1.04,1.17,1.35,2.66,1379.0,1794.4
1971-08-05,0.56,-0.36,1.22,1.57,1.32,1.22,1.39,2.69,1399.1,1820.1
1971-08-06,0.56,-0.38,1.15,1.53,1.45,1.26,1.4,2.73,1379.0,1826.5
1971-08-07,0.53,-0.39,1.1,1.46,1.47,1.32,1.46,2.75,1343.6,1864.9
1971-08-08,0.51,-0.4,1.1,1.34,1.47,1.36,1.5,2.79,1282.4,1890.4
1971-08-09,0.5,-0.4,1.05,1.24,1.5,1.4,1.52,2.81,1230.8,1903.1
1971-08-10,0.48,-0.4,1.02,1.14,1.38,1.45,1.52,2.81,1178.7,1903.1
1971-08-11,0.48,-0.4,1.03,1.06,1.3,1.36,1.48,2.8,1136.6,1877.6
1971-08-12,0.46,-0.4,1.01,1.02,1.2,1.3,1.4,2.78,1115.4,1826.5
1971-08-13,0.42,-0.4,1.0,1.06,1.16,1.28,1.33,2.75,1136.6,1781.5
1971-08-14,0.4,-0.4,0.95,1.0,1.14,1.25,1.35,2.73,1104.8,1794.4
1971-08-15,0.38,-0.4,0.95,0.94,1.1,1.22,1.37,2.71,1072.9,1807.2
1971-08-16,0.36,-0.4,1.0,0.94,1.06,1.19,1.32,2.69,1072.9,1775.1
1971-08-17,0.36,-0.42,1.0,0.92,1.0,1.14,1.28,2.67,1062.2,1749.3
1971-08-18,0.34,-0.42,1.0,0.9,1.0,1.1,1.26,2.64,1051.4,1736.4
1971-08-19,0.32,-0.44,1.0,0.9,0.98,1.04,1.2,2.6,1051.4,1697.5
1971-08-20,0.3,-0.46,1.0,0.88,0.96,0.98,1.15,2.54,1040.7,1664.9
1971-08-21,0.28,-0.48,1.0,0.88,0.9,0.92,1.08,2.47,1040.7,1619.1
1971-08-22,0.28,-0.5,0.83,0.88,0.86,0.87,1.02,2.4,1040.7,1579.5
1971-08-23,0.26,-0.53,0.86,0.86,0.86,0.83,1.0,2.32,1029.9,1566.3
1971-08-24,0.24,-0.58,0.8,0.84,0.84,0.9,1.1,2.25,1019.2,1632.2
1971-08-25,0.2,-0.62,0.8,0.82,0.8,0.98,1.22,2.19,1008.4,1710.4
1971-08-26,0.18,-0.67,0.8,0.8,0.8,1.03,1.22,2.18,997.5,1710.4
1971-08-27,0.16,-0.71,0.8,0.78,0.78,1.03,1.22,2.17,986.7,1710.4
1971-08-28,0.14,-0.75,0.8,0.76,0.7,1.0,1.15,2.16,975.8,1664.9
1971-08-29,0.12,-0.78,0.78,0.74,0.7,0.96,1.13,2.13,964.9,1651.8
1971-08-30,0.09,-0.8,0.75,0.73,0.68,0.92,1.1,2.11,959.5,1632.2
1971-08-31,0.09,-0.82,0.75,0.71,0.62,0.86,1.03,2.08,948.6,1586.1
1971-09-01,0.04,-0.84,0.75,0.7,0.58,0.8,1.0,2.03,943.1,1566.3
1971-09-02,0.04,-0.88,0.72,0.69,0.5,0.73,0.91,1.97,937.6,1506.4
1971-09-03,0.02,-0.91,0.7,0.68,0.5,0.66,0.87,1.9,932.2,1479.6
1971-09-04,0.02,-0.94,0.68,0.66,0.5,0.6,0.8,1.84,921.2,1432.3
1971-09-05,0.02,-0.97,0.68,0.65,0.48,0.54,0.74,1.77,915.7,1391.5
1971-09-06,0.009945164858718023,-1.0,0.65,0.64,0.42,0.48,0.72,1.68,910.2,1377.8
1971-09-07,-0.009587915621931464,-1.02,0.65,0.62,0.38,0.45,0.68,1.63,899.2,1350.3
1971-09-08,-0.03,-1.04,0.62,0.6,0.36,0.38,0.65,1.55,888.1,1329.6
1971-09-09,-0.05,-1.07,0.6,0.59,0.34,0.33,0.58,1.46,882.6,1280.9
1971-09-10,-0.07,-1.08,0.6,0.58,0.3,0.28,0.5,1.35,877.1,1224.6
1971-09-11,-0.09,-1.09,0.6,0.57,0.26,0.22,0.48,1.32,871.6,1210.4
1971-09-12,-0.12,-1.11,0.6,0.6,0.26,0.18,0.45,1.29,888.1,1189.1
1971-09-13,-0.14,-1.12,0.6,0.58,0.24,0.15,0.41,1.24,877.1,1160.4
1971-09-14,-0.17,-1.13,0.56,0.59,0.28,0.1,0.36,1.15,882.6,1124.4
1971-09-15,-0.19,-1.14,0.56,0.57,0.28,0.09,0.35,1.07,871.6,1117.1
1971-09-16,-0.22,-1.14,0.55,0.56,0.28,0.08,0.35,1.01,866.0,1117.1
1971-09-17,-0.25,-1.15,0.53,0.56,0.26,0.06,0.32,0.93,866.0,1095.3
1971-09-18,-0.28,-1.16,0.5,0.54,0.2,0.03,0.3,0.87,854.9,1080.7
1971-09-19,-0.31,-1.19,0.45,0.51,0.2,3.725618034782115e-05,0.28,0.83,838.2,1066.0
1971-09-20,-0.34,-1.21,0.45,0.5,0.18,-0.04,0.22,0.79,832.7,1021.7
1971-09-21,-0.37,-1.22,0.47,0.49,0.18,-0.1,0.19,0.75,827.1,999.4
1971-09-22,-0.4,-1.23,0.44,0.48,0.16,-0.16,0.13,0.69,821.5,954.4
1971-09-23,-0.43,-1.26,0.44,0.47,0.16,-0.18,0.1,0.65,815.9,931.7
1971-09-24,-0.47,-1.29,0.42,0.45,0.1,-0.22,0.08,0.6,804.7,916.4
1971-09-25,-0.5,-1.31,0.44,0.45,0.06,-0.27,0.03,0.54,804.7,878.2
1971-09-26,-0.54,-1.32,0.44,0.44,0.04,-0.31,-0.02,0.48,799.1,839.5
1971-09-27,-0.57,-1.3,0.45,0.44,0.02,-0.36,-0.07,0.42,799.1,800.4
1971-09-28,-0.6,-1.28,0.45,0.43,0.0037640590568829213,-0.4,-0.11,0.35,793.5,768.9
1971-09-29,-0.64,-1.26,0.45,0.46,-0.007555723679994808,-0.42,-0.12,0.27,810.3,761.0
1971-09-30,-0.68,-1.25,0.47,0.47,-0.005097644576875135,-0.44,-0.14,0.18,815.9,745.1
1971-10-01,-0.72,-1.22,0.48,0.48,0.02,-0.45,-0.14,0.11,821.5,745.1
1971-10-02,-0.75,-1.2,0.5,0.48,0.06,-0.44,-0.12,0.08,821.5,761.0
1971-10-03,-0.78,-1.2,0.45,0.48,0.08,-0.42,-0.14,0.1,821.5,745.1
1971-10-04,-0.81,-1.2,0.45,0.49,0.12,-0.4,-0.1,0.17,827.1,776.8
1971-10-05,-0.84,-1.2,0.45,0.49,0.08,-0.42,-0.07,0.23,827.1,800.4
1971-10-06,-0.88,-1.2,0.5,0.47,0.04,-0.42,-0.02,0.27,815.9,839.5
1971-10-07,-0.91,-1.2,0.5,0.47,0.02,-0.42,-0.11,0.26,815.9,768.9
1971-10-08,-0.95,-1.2,0.52,0.46,0.02032807276567364,-0.42,-0.1,0.23,810.3,776.8
1971-10-09,-1.0,-1.17,0.55,0.48,0.04296442719190484,-0.43,-0.11,0.2,821.5,768.9
1971-10-10,-1.04,-1.15,0.58,0.53,0.1,-0.35,-0.01,0.21,849.4,847.3
1971-10-11,-1.07,-1.12,0.6,0.8,0.22,-0.18,0.2,0.27,997.5,1006.9
1971-10-12,-1.11,-1.07,0.76,0.9,0.54,0.09,0.45,0.39,1051.4,1189.1
1971-10-13,-1.14,-1.03,0.82,0.97,0.9,0.32,0.72,0.51,1088.9,1377.8
1971-10-14,-1.17,-1.0,0.9,1.05,1.0,0.56,0.95,0.66,1131.3,1533.1
1971-10-15,-1.21,-0.95,1.0,1.15,1.04,0.76,1.09,0.87,1183.9,1625.6
1971-10-16,-1.25,-0.9,1.08,1.24,1.14,0.9,1.2,1.09,1230.8,1697.5
1971-10-17,-1.28,-0.84,1.01,1.27,1.3,1.0,1.28,1.3,1246.3,1749.3
1971-10-18,-1.32,-0.8,0.96,1.27,1.34,1.06,1.32,1.5,1246.3,1775.1
1971-10-19,-1.36,-0.72,0.9,1.2,1.34,1.11,1.35,1.65,1210.0,1794.4
1971-10-20,-1.38,-0.69,0.9,1.03,1.38,1.12,1.35,1.74,1120.7,1794.4
1971-10-21,-1.42,-0.69,0.86,1.0,1.38,1.14,1.37,1.81,1104.8,1807.2
1971-10-22,-1.46,-0.68,0.84,0.96,1.38,1.14,1.37,1.87,1083.5,1807.2
1971-10-23,-1.49,-0.66,0.86,0.92,1.2,1.1,1.32,1.89,1062.2,1775.1
1971-10-24,-1.52,-0.64,0.93,0.91,1.16,1.08,1.28,1.89,1056.8,1749.3
1971-10-25,-1.55,-0.64,1.0,1.05,1.16,1.04,1.25,1.88,1131.3,1729.9
1971-10-26,-1.58,-0.64,1.05,1.13,1.18,1.0,1.22,1.85,1173.4,1710.4
1971-10-27,-1.48,-0.63,1.1,1.23,1.22,0.96,1.21,1.83,1225.6,1704.0
1971-10-28,-1.18,-0.62,1.17,1.29,1.26,1.0,1.24,1.78,1256.7,1723.4
1971-10-29,-0.88,-0.61,1.15,1.33,1.34,1.03,1.28,1.74,1277.3,1749.3
1971-10-30,-0.58,-0.61,1.15,1.33,1.38,1.06,1.3,1.72,1277.3,1762.2
1971-10-31,-0.28,-0.61,1.15,1.29,1.38,1.08,1.33,1.69,1256.7,1781.5
1971-11-01,0.02,-0.61,1.15,1.23,1.36,1.08,1.33,1.65,1225.6,1781.5
1971-11-02,0.02,-0.63,1.05,1.17,1.32,1.07,1.3,1.63,1194.4,1762.2
1971-11-03,0.05,-0.65,1.05,1.02,1.2,1.02,1.26,1.6,1115.4,1736.4
1971-11-04,0.07,-0.68,1.02,1.05,1.05,0.92,1.14,1.55,1131.3,1658.4
1971-11-05,0.1,-0.68,1.0,1.0,0.9,0.81,1.03,1.48,1104.8,1586.1
1971-11-06,0.1,-0.68,1.0,0.98,0.8,0.68,0.93,1.38,1094.2,1519.8
1971-11-07,0.13,-0.68,1.0,0.95,0.74,0.56,0.82,1.24,1078.2,1445.9
1971-11-08,0.15,-0.68,0.95,0.94,0.7,0.46,0.71,1.11,1072.9,1370.9
1971-11-09,0.2,-0.68,0.95,0.94,0.66,0.38,0.68,1.0,1072.9,1350.3
1971-11-10,0.23,-0.66,0.98,0.93,0.66,0.34,0.6,0.91,1067.5,1294.9
