fecha,Con,Asu,Qcon,Qasu_m,
1/1/1960,2.66,5.2,1914.5,4749.8,
1/2/1960,2.56,5.16,1869.8,4706.1,
1/3/1960,2.46,5.09,1824.6,4630.8,
1/4/1960,2.36,5.02,1778.8,4556.7,
1/5/1960,2.28,4.92,1741.9,4453.2,
1/6/1960,2.23,4.86,1718.6,4392.3,
1/7/1960,2.22,4.73,1713.9,4263.4,
1/8/1960,2.2,4.63,1704.6,4167.0,
1/9/1960,2.18,4.53,1695.2,4072.9,
1/10/1960,2.2,4.45,1704.6,3999.2,
1/11/1960,2.22,4.32,1713.9,3882.4,
1/12/1960,2.24,4.22,1723.3,3794.9,
1/13/1960,2.25,4.12,1727.9,3709.4,
1/14/1960,2.26,4.02,1732.6,3625.7,
1/15/1960,2.27,3.92,1737.2,3543.9,
1/16/1960,2.28,3.8,1741.9,3447.9,
1/17/1960,2.29,3.7,1746.5,3369.7,
1/18/1960,2.3,3.62,1751.1,3308.3,
1/19/1960,2.3,3.52,1751.1,3232.8,
1/20/1960,2.32,3.42,1760.4,3158.7,
1/21/1960,2.34,3.31,1769.6,3078.6,
1/22/1960,2.36,3.2,1778.8,3000.1,
1/23/1960,2.52,3.12,1851.8,2943.8,
1/24/1960,2.63,3.05,1901.1,2895.1,
1/25/1960,2.67,3,1918.9,2860.6,
1/26/1960,2.68,2.98,1923.4,2846.9,
1/27/1960,2.66,2.95,1914.5,2826.4,
1/28/1960,2.63,2.91,1901.1,2799.1,
1/29/1960,2.63,2.89,1901.1,2785.6,
1/30/1960,2.74,2.84,1949.9,2751.8,
1/31/1960,2.76,2.8,1958.7,2725.0,
2/1/1960,2.8,2.77,1976.2,2704.9,
2/2/1960,2.9,2.76,2019.6,2698.2,
2/3/1960,2.96,2.75,2045.4,2691.6,
2/4/1960,3.02,2.75,2071.0,2691.6,
2/5/1960,3.08,2.78,2096.5,2711.6,
2/6/1960,3.14,2.79,2121.7,2718.3,
2/7/1960,3.2,2.8,2146.8,2725.0,
2/8/1960,3.26,2.82,2171.6,2738.4,
2/9/1960,3.26,2.83,2171.6,2745.1,
2/10/1960,3.23,2.85,2159.2,2758.6,
2/11/1960,3.18,2.88,2138.4,2778.8,
2/12/1960,3.16,2.89,2130.1,2785.6,
2/13/1960,3.12,2.89,2113.3,2785.6,
2/14/1960,3.1,2.88,2104.9,2778.8,
2/15/1960,3.1,2.87,2104.9,2772.1,
2/16/1960,3.07,2.85,2092.2,2758.6,
2/17/1960,3.1,2.93,2104.9,2812.7,
2/18/1960,3.18,3.12,2138.4,2943.8,
2/19/1960,3.28,3.36,2179.9,3114.8,
2/20/1960,3.38,3.55,2220.8,3255.3,
2/21/1960,3.43,3.68,2241.1,3354.3,
2/22/1960,3.46,3.76,2253.2,3416.4,
2/23/1960,3.48,3.82,2261.2,3463.7,
2/24/1960,3.5,3.84,2269.2,3479.6,
2/25/1960,3.5,3.85,2269.2,3487.6,
2/26/1960,3.5,3.84,2269.2,3479.6,
2/27/1960,3.49,3.82,2265.2,3463.7,
2/28/1960,3.47,3.8,2257.2,3447.9,
2/29/1960,3.43,3.77,2241.1,3424.3,
3/1/1960,3.42,3.77,2237.0,3424.3,
3/2/1960,3.4,3.79,2228.9,3440.0,
3/3/1960,3.37,3.76,2216.7,3416.4,
3/4/1960,3.34,3.73,2204.5,3393.0,
3/5/1960,3.3,3.68,2188.1,3354.3,
3/6/1960,3.28,3.65,2179.9,3331.2,
3/7/1960,3.26,3.65,2171.6,3331.2,
3/8/1960,3.23,3.61,2159.2,3300.7,
3/9/1960,3.2,3.57,2146.8,3270.3,
3/10/1960,3.18,3.51,2138.4,3225.3,
3/11/1960,3.16,3.47,2130.1,3195.5,
3/12/1960,3.15,3.42,2125.9,3158.7,
3/13/1960,3.14,3.37,2121.7,3122.1,
3/14/1960,3.14,3.32,2121.7,3085.8,
3/15/1960,3.12,3.28,2113.3,3057.1,
3/16/1960,3.12,3.24,2113.3,3028.5,
3/17/1960,3.12,3.2,2113.3,3000.1,
3/18/1960,3.12,3.16,2113.3,2971.8,
3/19/1960,3.1,3.12,2104.9,2943.8,
3/20/1960,3.1,3.09,2104.9,2922.9,
3/21/1960,3.12,3.06,2113.3,2902.0,
3/22/1960,3.12,3.04,2113.3,2888.2,
3/23/1960,3.13,3.01,2117.5,2867.5,
3/24/1960,3.14,2.99,2121.7,2853.8,
3/25/1960,3.14,2.98,2121.7,2846.9,
3/26/1960,3.14,2.97,2121.7,2840.0,
3/27/1960,3.14,2.94,2121.7,2819.6,
3/28/1960,3.14,2.9,2121.7,2792.4,
3/29/1960,3.15,2.88,2125.9,2778.8,
3/30/1960,3.15,2.84,2125.9,2751.8,
3/31/1960,3.15,2.82,2125.9,2738.4,
4/1/1960,3.15,2.84,2125.9,2751.8,
4/2/1960,3.16,2.84,2130.1,2751.8,
4/3/1960,3.17,2.88,2134.3,2778.8,
4/4/1960,3.17,2.94,2134.3,2819.6,
4/5/1960,3.18,2.94,2138.4,2819.6,
4/6/1960,3.21,2.94,2150.9,2819.6,
4/7/1960,3.24,2.94,2163.4,2819.6,
4/8/1960,3.28,2.95,2179.9,2826.4,
4/9/1960,3.36,2.98,2212.7,2846.9,
4/10/1960,3.42,3.01,2237.0,2867.5,
4/11/1960,3.5,3.04,2269.2,2888.2,
4/12/1960,3.6,3.05,2309.0,2895.1,
4/13/1960,3.69,3.1,2344.3,2929.8,
4/14/1960,3.73,3.18,2359.9,2985.9,
4/15/1960,3.76,3.24,2371.5,3028.5,
4/16/1960,3.78,3.35,2379.3,3107.6,
